#k_fold_value is 0 
#index, accuracy
0, 0.388889 
1, 0.388889 
2, 0.500000 
3, 0.500000 
4, 0.333333 
#k_fold_value is 1 
#index, accuracy
0, 0.388889 
1, 0.388889 
2, 0.611111 
3, 0.555556 
4, 0.388889 
#k_fold_value is 2 
#index, accuracy
0, 0.500000 
1, 0.500000 
2, 0.555556 
3, 0.555556 
4, 0.500000 
#k_fold_value is 3 
#index, accuracy
0, 0.500000 
1, 0.388889 
2, 0.555556 
3, 0.611111 
4, 0.388889 
#k_fold_value is 4 
#index, accuracy
0, 0.500000 
1, 0.555556 
2, 0.500000 
3, 0.500000 
4, 0.666667 
#k_fold_value is 5 
#index, accuracy
0, 0.777778 
1, 0.666667 
2, 0.611111 
3, 0.555556 
4, 0.555556 
#k_fold_value is 6 
#index, accuracy
0, 0.444444 
1, 0.444444 
2, 0.444444 
3, 0.444444 
4, 0.388889 
#k_fold_value is 7 
#index, accuracy
0, 0.666667 
1, 0.666667 
2, 0.722222 
3, 0.722222 
4, 0.722222 
#k_fold_value is 8 
#index, accuracy
0, 0.611111 
1, 0.611111 
2, 0.611111 
3, 0.611111 
4, 0.611111 
#k_fold_value is 9 
#index, accuracy
0, 0.555556 
1, 0.611111 
2, 0.555556 
3, 0.555556 
4, 0.611111 
#k_fold_value is 10 
#index, accuracy
0, 0.722222 
1, 0.722222 
2, 0.722222 
3, 0.722222 
4, 0.722222 
#k_fold_value is 11 
#index, accuracy
0, 0.777778 
1, 0.777778 
2, 0.611111 
3, 0.777778 
4, 0.777778 
#k_fold_value is 12 
#index, accuracy
0, 0.722222 
1, 0.722222 
2, 0.666667 
3, 0.666667 
4, 0.666667 
#k_fold_value is 13 
#index, accuracy
0, 0.555556 
1, 0.555556 
2, 0.555556 
3, 0.555556 
4, 0.555556 
#k_fold_value is 14 
#index, accuracy
0, 0.666667 
1, 0.666667 
2, 0.777778 
3, 0.722222 
4, 0.666667 
#k_fold_value is 15 
#index, accuracy
0, 0.500000 
1, 0.500000 
2, 0.555556 
3, 0.555556 
4, 0.555556 
#k_fold_value is 16 
#index, accuracy
0, 0.555556 
1, 0.555556 
2, 0.611111 
3, 0.611111 
4, 0.500000 
#k_fold_value is 17 
#index, accuracy
0, 0.722222 
1, 0.611111 
2, 0.722222 
3, 0.722222 
4, 0.555556 
#k_fold_value is 18 
#index, accuracy
0, 0.555556 
1, 0.555556 
2, 0.611111 
3, 0.611111 
4, 0.611111 
-----------------------
